experiment,interest_score,distance,time_sec,route_length,route_text,yandex_url
user_1_1_military_focus,85,19882.200801187828,46.19239544868469,17,Место-сюрприз -> В. В. Верещагину -> С. А. Зернову -> В. А. Стеклову -> Баррикадам против полиции царского самодержавия -> И. И. Шувалову -> Эмиль Неллиган -> А. С. Пушкину -> 152-мм гаубица образца 1943 года (Д-1) -> Могила Анны Ивановны -> 152-мм гаубица-пушка образца 1937 года (МЛ-20) -> С. Д. Довлатову -> Джакомо Кваренги -> Н. И. Пирогову -> К. И. Чуковскому -> Н. П. Кравкову -> Подвигу трамвайщиков блокадного Ленинграда,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9346421,30.2787385~59.9350026,30.2799953~59.9367149,30.2857997~59.9364886,30.2860106~59.9448122,30.2797485~59.9378004,30.2898802~59.9141094,30.3178114~59.9410043,30.3215631~59.9526499,30.3137059~59.9502402,30.3160909~59.9528676,30.3142894~59.9278061,30.342885~59.9358527,30.3410636~59.9392176,30.3486375~59.9433367,30.3537877~59.9540873,30.3491975~59.969418,30.348839~59.935408,30.327108&rtt=pd"
user_1_2_military_focus,80,16248.082326634083,45.038392066955566,16,"Водонапорная башня завода «Красный гвоздильщик» -> Дом С. Сиверс -> Я. К. Гроту -> Д. Дидро -> Памятник Гению -> И. П. Павлову -> Г. А. Алиеву -> П. И. Чайковскому -> Н. И. Вавилову -> Г. А. Товстоногову -> С. А. Майорову -> И. С. Тургеневу -> Женщинам, защитившим Ленинград -> А. А. Кузнецову -> А. М. Горькому -> Ф. Г. Углов","https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9283231,30.2649834~59.9403674,30.2754083~59.9365632,30.2859611~59.9330516,30.3060045~59.9416939,30.2998247~59.9450594,30.2999865~59.9357904,30.3113937~59.9355046,30.3121313~59.9363519,30.3151186~59.9273834,30.3314027~59.9565848,30.3085529~59.9394952,30.3235812~59.9599464,30.3115188~59.9621791,30.3099301~59.956748,30.3198237~59.9645158,30.3230024~59.935408,30.327108&rtt=pd"
user_1_3_military_focus,75,12900.081604772615,45.24074864387512,15,Кораблик -> И. Ф. Крузенштерн -> Памятник архитектуры XIX века -> Место-сюрприз -> В. А. Успенскому -> И. Ф. Стравинскому -> И. Д. Луцевичу -> Т. Г. Шевченко -> Г. Р. Державин -> М. И. Глинке -> Место-сюрприз -> Д. Адамсу -> П. П. Мельникову -> Н. В. Гоголь -> К. Ф. Рылееву,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9301049,30.2828871~59.9345917,30.2800189~59.9377835,30.2798238~59.9361028,30.2842819~59.9312197,30.290949~59.9267237,30.2948469~59.9460587,30.2788893~59.9385686,30.2870269~59.9192373,30.3107011~59.9289576,30.3047349~59.9452027,30.2907636~59.9316699,30.3102066~59.9242825,30.3173745~59.9367359,30.3092141~59.9425002,30.3506582~59.935408,30.327108&rtt=pd"
user_1_4_military_focus,85,13952.553682557613,42.1210618019104,17,Н. К. Рериху -> 6-й специальной артиллерийской школе -> Место-сюрприз -> Обелиск в честь 300-летия учреждения ордена Андрея Первозванного -> В. В. Петрову -> Ф. Ф. Ушаков -> ИТАР-ТАСС -> Г. Х. Бумагину -> В. В. Набокову -> И. В. Гребенщикову -> Л. А. Орбели -> А. Захарову -> Открытию регулярного трамвайного движения в Санкт-Петербурге -> Место-сюрприз -> Вечный огонь -> Карл Росси -> П. Г. Ольденбургский,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9340504,30.2574009~59.9399405,30.2690647~59.9362964,30.2766974~59.9393189,30.2830399~59.9364791,30.2859534~59.9309445,30.2928351~59.9332975,30.2945079~59.9346677,30.2958481~59.9318236,30.3049746~59.9437121,30.2960535~59.9450177,30.2999665~59.9374456,30.3088157~59.9367257,30.3103341~59.9392848,30.3104615~59.9435709,30.3318564~59.935765,30.3408519~59.9351413,30.3483604~59.935408,30.327108&rtt=pd"

user_2_1_religion_focus,29,6072.169067716142,19.46718955039978,11,Петру Великому -> А. А. Троицкому -> Памятник императору Николаю I -> Царь-плотник -> П. И. Чайковскому -> В.Высоцкий -> Николаю Гумилёву -> Место-сюрприз -> П. Л. Шиллингу фон Канштадту -> Элементы регулярной планировки Летнего сада -> Место-сюрприз,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9364084,30.3021774~59.9314407,30.3067723~59.932104,30.3084347~59.939222,30.3075884~59.9355046,30.3121313~59.9322492,30.3175394~59.9323653,30.3182647~59.9426305,30.3210922~59.9422052,30.329842~59.9449403,30.3344899~59.9445939,30.3410082~59.935408,30.327108&rtt=pd"
user_2_2_religion_focus,21,6616.430634728238,9.249827146530151,5,"Большая сцена, малая сцена, касса театра, служебный вход -> Место-сюрприз -> Могила Павла I -> Место-сюрприз -> Поперечный канал и «шутишный» мост","https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9198173,30.3126151~59.9325463,30.3174149~59.9501076,30.3165537~59.9498138,30.3208055~59.9448828,30.3354022~59.935408,30.327108&rtt=pd"
user_2_3_religion_focus,27,6357.863358674899,18.235950469970703,7,Место-сюрприз -> Крепим оборону СССР -> Место-сюрприз -> Место-сюрприз -> Боскет «Менажерийный пруд» -> Кофейный домик -> В. А. Лягину,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9419524,30.3142445~59.9321691,30.3242172~59.9510215,30.3218083~59.9422608,30.3371803~59.9464339,30.3346853~59.9460357,30.3366859~59.9422589,30.3410975~59.935408,30.327108&rtt=pd"
user_2_4_religion_focus,18,7097.591078634111,17.47432541847229,6,Крепим оборону СССР -> М. М. Сперанскому -> Коллекция скульптуры Летнего сада -> С. П. Дягилеву -> План больницы -> Место-сюрприз,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9321691,30.3242172~59.9348151,30.3324261~59.9469519,30.3339821~59.9366446,30.3429555~59.9345073,30.3488466~59.9451117,30.3681605~59.935408,30.327108&rtt=pd"

user_3_1_food_focus,9,4701.044245771062,10.070996761322021,5,А. Н. Кононову -> Н. П. Акимову -> Bach -> Берсо -> Nice,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9361255,30.3145464~59.9361158,30.3149965~59.9365071,30.323466~59.9453178,30.3343717~59.941215,30.3460427~59.935408,30.327108&rtt=pd"
user_3_2_food_focus,3,2324.327548414732,7.15218710899353,3,О. Ф. Берггольц -> В. М. Саянову -> А. С. Пушкину,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9260131,30.3247783~59.9378258,30.32601~59.9372583,30.3316215~59.935408,30.327108&rtt=pd"
user_3_3_food_focus,9,4230.84484517385,13.870760202407837,5,Конфуций -> Место-сюрприз -> Bach -> Место-сюрприз -> Clever hostel,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9321141,30.3176324~59.9359266,30.3232621~59.9365071,30.323466~59.9445415,30.3410129~59.9447893,30.3459349~59.935408,30.327108&rtt=pd"
user_3_4_food_focus,13,4448.742646259023,14.075253009796143,5,Михаил Кутузов -> Блокадный репродуктор -> В. И. Ленину -> Nice -> Clever hostel,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9349829,30.3259643~59.9342336,30.3372024~59.9361465,30.3394049~59.941215,30.3460427~59.9447893,30.3459349~59.935408,30.327108&rtt=pd"
