experiment,interest_score,distance,time_sec,route_length,route_text,yandex_url
user_1_1_military_focus,10,1700.3948702456562,25.830540418624878,2,П. П. Мельникову -> Место-сюрприз,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9242825,30.3173745~59.93234,30.3214526~59.935408,30.327108&rtt=pd"
user_1_1_military_focus,76,87128.60682028212,25.830540418624878,15,"ДОТ ""Миллионер"" -> Место-сюрприз -> Храм Сергия Радонежского (1900-1931) -> Медикам-балтийцам, павшим в боях за Родину 1941-1945 -> Пассажирский вагон -> В. И. Ленин -> Место-сюрприз -> В. И. Вернадскому -> Водомерный столб -> П. П. Мельникову -> Место-сюрприз -> Д. Кваренги -> Место-сюрприз -> Братская могила воинов 2-го зенитно-пулемётного полка -> Карл Фаберже","https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~60.1509998,30.0177469~59.9080198,30.2720124~59.9027099,30.2845042~59.91437,30.2790648~59.9045194,30.2974619~59.9268392,30.2899849~59.9380373,30.280544~59.9364644,30.2859021~59.9315433,30.3077275~59.9242825,30.3173745~59.9359266,30.3232621~59.9427152,30.3174662~59.9532698,30.3165042~59.9106833,30.4308357~59.9341673,30.4362664~59.935408,30.327108&rtt=pd"
user_1_1_military_focus,75,33211.98255609606,25.830540418624878,15,"Место-сюрприз -> Храм Сергия Радонежского (1900-1931) -> Медикам-балтийцам, павшим в боях за Родину 1941-1945 -> Пассажирский вагон -> Место-сюрприз -> В. И. Вернадскому -> Водомерный столб -> П. П. Мельникову -> Газовые фонари вокруг памятника Пржевальскому -> Место-сюрприз -> Место-сюрприз -> Д. Кваренги -> Место-сюрприз -> Братская могила воинов 2-го зенитно-пулемётного полка -> Карл Фаберже","https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9080198,30.2720124~59.9027099,30.2845042~59.91437,30.2790648~59.9045194,30.2974619~59.9380373,30.280544~59.9364644,30.2859021~59.9315433,30.3077275~59.9242825,30.3173745~59.9361132,30.3078349~59.93234,30.3214526~59.9359266,30.3232621~59.9427152,30.3174662~59.9532698,30.3165042~59.9106833,30.4308357~59.9341673,30.4362664~59.935408,30.327108&rtt=pd"
user_1_1_military_focus,50,11540.93637136649,25.830540418624878,10,"Медикам-балтийцам, павшим в боях за Родину 1941-1945 -> В. И. Ленин -> Место-сюрприз -> В. И. Вернадскому -> Водомерный столб -> П. П. Мельникову -> Газовые фонари вокруг памятника Пржевальскому -> Место-сюрприз -> Место-сюрприз -> Д. Кваренги","https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.91437,30.2790648~59.9268392,30.2899849~59.9380373,30.280544~59.9364644,30.2859021~59.9315433,30.3077275~59.9242825,30.3173745~59.9361132,30.3078349~59.93234,30.3214526~59.9359266,30.3232621~59.9427152,30.3174662~59.935408,30.327108&rtt=pd"

user_1_2_military_focus,5,1648.1977054158112,24.015817642211914,2,Majestic -> Дом Крылова,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9331194,30.3333685~59.9334655,30.3340397~59.935408,30.327108&rtt=pd"
user_1_2_military_focus,76,32577.579282310748,24.015817642211914,15,А. И. Шёгрену -> А. М. Ляпунову -> И. Д. Луцевичу -> Памятник императору Николаю I -> Н. В. Гоголю -> Дом Крылова -> Экспериментальная ракета РЛА-1 с двигателем ОРМ-52 -> В. И. Ленин -> Л. Пантелееву -> Бартоломео Растрелли -> Место-сюрприз -> Место-сюрприз -> В. И. Колесову -> М. М. Сомову -> В.И. Чуйков,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9368543,30.2856439~59.9365087,30.286023~59.9460587,30.2788893~59.932104,30.3084347~59.9363846,30.3249886~59.9334655,30.3340397~59.9518329,30.3209433~59.9621386,30.315744~59.9579331,30.3215987~59.9360436,30.3408131~59.9684361,30.3134421~59.942444,30.3411057~59.9652283,30.3225556~59.9537182,30.3566923~60.0266812,30.3298542~59.935408,30.327108&rtt=pd"
user_1_2_military_focus,66,16649.433232403273,24.015817642211914,13,А. И. Шёгрену -> А. М. Ляпунову -> А. А. Ахматова -> Памятник императору Николаю I -> Н. В. Гоголю -> Дом Крылова -> В. И. Ленин -> Л. Пантелееву -> Бартоломео Растрелли -> Место-сюрприз -> Место-сюрприз -> В. И. Колесову -> М. М. Сомову,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9368543,30.2856439~59.9365087,30.286023~59.9402682,30.2983986~59.932104,30.3084347~59.9363846,30.3249886~59.9334655,30.3340397~59.9621386,30.315744~59.9579331,30.3215987~59.9360436,30.3408131~59.9684361,30.3134421~59.942444,30.3411057~59.9652283,30.3225556~59.9537182,30.3566923~59.935408,30.327108&rtt=pd"
user_1_2_military_focus,71,29520.74314351915,24.015817642211914,14,А. И. Шёгрену -> А. М. Ляпунову -> И. Д. Луцевичу -> Памятник императору Николаю I -> Н. В. Гоголю -> Дом Крылова -> В. И. Ленин -> Л. Пантелееву -> Бартоломео Растрелли -> Место-сюрприз -> Место-сюрприз -> В. И. Колесову -> М. М. Сомову -> В.И. Чуйков,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9368543,30.2856439~59.9365087,30.286023~59.9460587,30.2788893~59.932104,30.3084347~59.9363846,30.3249886~59.9334655,30.3340397~59.9621386,30.315744~59.9579331,30.3215987~59.9360436,30.3408131~59.9684361,30.3134421~59.942444,30.3411057~59.9652283,30.3225556~59.9537182,30.3566923~60.0266812,30.3298542~59.935408,30.327108&rtt=pd"

user_1_3_military_focus,5,1309.1133336522523,27.306629180908203,1,И. В. Гёте,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9364404,30.3240017~59.935408,30.327108&rtt=pd"
user_1_3_military_focus,76,30636.647547068867,27.306629180908203,15,Водонапорная башня завода «Красный гвоздильщик» -> Двухосный полувагон -> М. К. Чюрлёнису -> Место-сюрприз -> Л. В. Щерба -> И. В. Гёте -> Г. И. Турнеру -> Место-сюрприз -> Место-сюрприз -> Е. П. Корчагиной-Александровской -> М. И. Петипа -> А. А. Вермишеву -> Место-сюрприз -> В. Н. Шамову -> Ниеншанц,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9283231,30.2649834~59.9037041,30.2962007~59.9217067,30.2893335~59.9193136,30.2981244~59.9402686,30.2983038~59.9364404,30.3240017~59.9619483,30.3018995~59.948575,30.3171062~59.9486459,30.3177394~59.9291279,30.3361405~59.9303574,30.3357223~59.9643629,30.3100206~59.9618429,30.319234~59.9345835,30.354087~59.9438434,30.4067847~59.935408,30.327108&rtt=pd"
