experiment_id,population_size,generations,mutation_rate,best_fitness,final_fitness,best_route_length,final_route_length,best_distance,final_distance,time_sec
1,25,25,0.1,69.9858284785305,69.9858284785305,14,14,0.14171521469506418,0.14171521469506418,37.143765926361084
2,25,25,0.25,89.57757504393645,89.57757504393645,25,25,4.224249560635487,4.224249560635487,58.23783230781555
3,25,25,0.5,59.993602549072826,59.993602549072826,8,8,0.06397450927176099,0.06397450927176099,21.22939109802246
4,25,50,0.1,139.9811643437766,139.9811643437766,22,22,0.18835656223380187,0.18835656223380187,107.32785415649414
5,25,50,0.25,99.98116434377663,99.98116434377663,25,25,0.18835656223380187,0.18835656223380187,106.99241638183594
6,25,50,0.5,79.86001384347566,79.86001384347566,12,12,1.39986156524345,1.39986156524345,61.145057916641235
7,25,100,0.1,89.98473463490438,89.98473463490438,21,21,0.15265365095620415,0.15265365095620415,194.38984203338623
8,25,100,0.25,69.98473463490438,69.98473463490438,10,10,0.15265365095620415,0.15265365095620415,87.13040566444397
9,25,100,0.5,89.98473463490438,89.98473463490438,20,20,0.15265365095620415,0.15265365095620415,179.39521861076355
10,50,25,0.1,59.993602549072826,59.993602549072826,25,25,0.06397450927176099,0.06397450927176099,68.83763289451599
11,50,25,0.25,79.99360254907282,79.99360254907282,13,13,0.06397450927176099,0.06397450927176099,29.058839797973633
12,50,25,0.5,69.98116434377663,69.98116434377663,7,7,0.18835656223380187,0.18835656223380187,15.60496735572815
13,50,50,0.1,129.9811643437766,129.9811643437766,22,22,0.18835656223380187,0.18835656223380187,101.17404294013977
14,50,50,0.25,89.98988372955417,89.98988372955417,25,25,0.10116270445836488,0.10116270445836488,129.5170431137085
15,50,50,0.5,89.9858284785305,99.9858284785305,25,25,0.14171521469506418,0.14171521469506418,135.64270401000977
16,50,100,0.1,69.94324266959245,69.94324266959245,17,17,0.5675733040755452,0.5675733040755452,176.01886105537415
17,50,100,0.25,79.98316404746726,79.98316404746726,25,25,0.16835952532739293,0.16835952532739293,267.70021748542786
18,50,100,0.5,39.945787005247944,39.945787005247944,11,11,0.5421299475205363,0.5421299475205363,123.99224019050598
19,100,25,0.1,59.60261050744942,59.60261050744942,25,25,3.9738949255057814,3.9738949255057814,71.19451951980591
20,100,25,0.25,49.68782420598601,49.68782420598601,23,23,3.1217579401398607,3.1217579401398607,65.18850064277649
21,100,25,0.5,79.98116434377663,89.98116434377663,21,22,0.18835656223380187,0.18835656223380187,67.89652132987976
22,100,50,0.1,89.98116434377663,89.98116434377663,12,12,0.18835656223380187,0.18835656223380187,55.62588810920715
23,100,50,0.25,79.8571975467419,79.8571975467419,19,19,1.4280245325810097,1.4280245325810097,100.3261227607727
24,100,50,0.5,109.98116434377663,109.98116434377663,24,24,0.18835656223380187,0.18835656223380187,112.47953534126282
25,100,100,0.1,109.98941477736885,109.98941477736885,25,25,0.10585222631142793,0.10585222631142793,259.9431173801422
26,100,100,0.25,139.76483445391744,139.76483445391744,25,25,2.35165546082545,2.35165546082545,233.94728207588196
27,100,100,0.5,59.962814326540496,59.962814326540496,21,21,0.37185673459507695,0.37185673459507695,215.01423025131226
